"county","stateabbr","value","state","region"
"abbeville","SC",6.79567611180941,"south carolina",45001
"acadia","LA",6.71788028844876,"louisiana",22001
"accomack","VA",6.45989435780789,"virginia",51001
"ada","ID",4.38371438877859,"idaho",16001
"adair","IA",5.40933650897288,"iowa",19001
"adair","KY",4.97334756766076,"kentucky",21001
"adair","MO",4.71276670550822,"missouri",29001
"adair","OK",6.03946992803392,"oklahoma",40001
"adams","CO",3.64047693072467,"colorado",8001
"adams","IA",4.75498701804207,"iowa",19003
"adams","ID",5.218941105722,"idaho",16003
"adams","IL",4.7556705785201,"illinois",17001
"adams","IN",5.2444824042617,"indiana",18001
"adams","MS",5.21698839792517,"mississippi",28001
"adams","ND",4.90862507423313,"north dakota",38001
"adams","NE",5.94552914215225,"nebraska",31001
"adams","OH",4.89534003178634,"ohio",39001
"adams","PA",5.20051644879473,"pennsylvania",42001
"adams","WA",4.78455227460711,"washington",53001
"adams","WI",5.50350948497982,"wisconsin",55001
"addison","VT",5.44218136945172,"vermont",50001
"aiken","SC",4.55941304039718,"south carolina",45003
"aitkin","MN",5.6548395651645,"minnesota",27001
"alachua","FL",3.2725067262126,"florida",12001
"alamance","NC",5.68858587396478,"north carolina",37001
"alameda","CA",4.41587067622791,"california",6001
"alamosa","CO",4.84779825970245,"colorado",8003
"albany","NY",5.0743289293507,"new york",36001
"albany","WY",4.3122783882579,"wyoming",56001
"albemarle","VA",3.8208427896164,"virginia",51003
"alcona","MI",6.46999755380701,"michigan",26001
"alcorn","MS",5.35892490488289,"mississippi",28003
"alexander","IL",5.19208493805485,"illinois",17003
"alexander","NC",4.62742837667438,"north carolina",37003
"alexandria cit","VA",3.90040971865667,"virginia",51510
"alfalfa","OK",5.84458662458092,"oklahoma",40003
"alger","MI",4.5235721892874,"michigan",26003
"allamakee","IA",5.79250219237521,"iowa",19005
"allegan","MI",4.17111692902168,"michigan",26005
"allegany","MD",5.57122826569857,"maryland",24001
"allegany","NY",4.84605206695753,"new york",36003
"alleghany","NC",5.06443690861449,"north carolina",37005
"alleghany","VA",4.77770728760613,"virginia",51005
"allegheny","PA",5.79275876685825,"pennsylvania",42003
"allen","IN",4.10144519637043,"indiana",18003
"allen","KS",6.07662646326668,"kansas",20001
"allen","KY",6.11983835973319,"kentucky",21003
"allen","LA",5.11380599176376,"louisiana",22003
"allen","OH",5.46779096119988,"ohio",39003
"allendale","SC",4.8687675132158,"south carolina",45005
"alpena","MI",4.3248278952182,"michigan",26007
"alpine","CA",5.09327800914928,"california",6003
"amador","CA",5.2172559727661,"california",6005
"amelia","VA",4.75034594247201,"virginia",51007
"amherst","VA",5.48687700723955,"virginia",51009
"amite","MS",4.6215444348895,"mississippi",28005
"anderson","KS",5.74846948362199,"kansas",20003
"anderson","KY",4.56673835293556,"kentucky",21005
"anderson","SC",5.67704607677245,"south carolina",45007
"anderson","TN",4.51370318307614,"tennessee",47001
"anderson","TX",5.6974192591575,"texas",48001
"andrew","MO",5.28913170990972,"missouri",29003
"andrews","TX",4.96526455700993,"texas",48003
"androscoggin","ME",5.20232852051598,"maine",23001
"angelina","TX",4.39638058770394,"texas",48005
"anne arundel","MD",3.75582466440425,"maryland",24003
"anoka","MN",3.52001501491179,"minnesota",27003
"anson","NC",4.82528133815325,"north carolina",37007
"antelope","NE",5.44393419757238,"nebraska",31003
"antrim","MI",6.1482235528356,"michigan",26009
"apache","AZ",4.8147183715263,"arizona",4001
"appanoose","IA",5.30950758574132,"iowa",19007
"appling","GA",4.85261665625646,"georgia",13001
"appomattox","VA",5.39512814132686,"virginia",51011
"aransas","TX",5.14869769516514,"texas",48007
"arapahoe","CO",2.49578175500649,"colorado",8005
"archer","TX",5.18759689711451,"texas",48009
"archuleta","CO",5.40801956386252,"colorado",8007
"arenac","MI",5.52207711396138,"michigan",26011
"arkansas","AR",5.04841576494305,"arkansas",5001
"arlington","VA",4.11094629372616,"virginia",51013
"armstrong","PA",4.8975831916846,"pennsylvania",42005
"armstrong","TX",5.32990485690269,"texas",48011
"aroostook","ME",5.23906979768897,"maine",23003
"arthur","NE",5.13075838968799,"nebraska",31005
"ascension","LA",6.12811771762745,"louisiana",22005
"ashe","NC",4.54811157049184,"north carolina",37009
"ashland","OH",4.8768778701634,"ohio",39005
"ashland","WI",4.95003059304924,"wisconsin",55003
"ashley","AR",4.98885782243509,"arkansas",5003
"ashtabula","OH",5.63303160719466,"ohio",39007
"asotin","WA",5.40382190031546,"washington",53003
"assumption","LA",4.89882604168648,"louisiana",22007
"atascosa","TX",4.68791981124456,"texas",48013
"atchison","KS",5.66870919862493,"kansas",20005
"atchison","MO",5.45719203582151,"missouri",29005
"athens","OH",4.62162740258691,"ohio",39009
"atkinson","GA",4.81097801086795,"georgia",13003
"atlantic","NJ",5.52414725839134,"new jersey",34001
"atoka","OK",4.64396476480121,"oklahoma",40005
"attala","MS",6.35622503122171,"mississippi",28007
"audrain","MO",5.93091774625614,"missouri",29007
"audubon","IA",5.46010632267115,"iowa",19009
"auglaize","OH",6.17465025516572,"ohio",39011
"augusta","VA",3.9688105376927,"virginia",51015
"aurora","SD",5.22331314592206,"south dakota",46003
"austin","TX",7.18333041730189,"texas",48015
